City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
187,Benguela,AO,79.07,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
189,Muli,MV,83.03,few clouds,2.9167,73.5667,Medhufushi Island Resort
191,Lumut,MY,78.82,thunderstorm,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
195,Quepos,CR,86.07,scattered clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
196,Caranavi,BO,76.26,scattered clouds,-15.8167,-67.55,Hotel LANDIVAR
197,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
199,Saint George,US,64.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
202,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
203,Olavarria,AR,85.35,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
207,Male,MV,84.15,few clouds,4.1748,73.5089,Hotel Octave Maldives
209,Cidreira,BR,72.73,light rain,-30.1811,-50.2056,Hotel Castelo
210,Carnarvon,AU,78.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
212,Iralaya,HN,83.16,few clouds,15.0,-83.2333,Iglesia morava renovada
213,Punta Gorda,US,88.0,scattered clouds,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
214,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
215,Saint-Pierre,RE,80.28,few clouds,-21.3393,55.4781,Lindsey Hôtel
217,Constitucion,CL,60.03,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
224,Port-Gentil,GA,82.36,few clouds,-0.7193,8.7815,Fengshui Residence
226,Namibe,AO,75.45,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
230,Tautira,PF,80.01,broken clouds,-17.7333,-149.15,Pension Oaoa
233,Padang,ID,75.96,clear sky,-0.9492,100.3543,Mercure Padang
